,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jan,222.912,232.666,236.341,238.872,246.538,248.631,248.242,252.361,256.417,261.057,270.938,289.772
Feb,223.799,232.486,236.301,239.608,246.680,248.800,248.791,252.266,257.222,261.876,271.363,292.794
Mar,225.350,232.792,236.332,240.398,246.045,247.978,249.165,252.370,257.724,262.708,271.812,295.728
Apr,226.150,233.234,236.841,241.337,246.121,248.413,249.739,253.209,257.708,266.757,273.090,298.711
May,226.976,233.339,236.526,242.344,246.187,247.860,250.016,253.098,258.110,268.439,274.212,302.038
Jun,227.360,233.563,236.792,242.326,246.680,247.482,249.653,253.231,258.064,269.770,276.206,305.041
Jul,228.316,233.630,237.001,243.034,247.003,247.554,250.214,253.746,258.274,268.863,278.127,308.532
Aug,229.554,234.156,237.406,243.811,247.671,247.719,250.493,254.077,258.410,269.079,279.135,310.875
Sep,230.573,234.298,237.522,244.630,248.632,247.917,250.993,254.393,258.943,269.163,281.506,313.142
Oct,231.017,234.878,237.871,245.166,249.052,248.073,251.364,254.358,259.632,269.828,284.205,315.323
Nov,230.790,234.896,237.641,245.192,248.306,247.435,250.871,254.379,259.467,269.069,285.507,315.857
Dec,231.301,235.390,237.869,245.976,247.903,247.313,251.238,255.210,259.823,270.023,286.966,
